,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
5,206,LOV,140.34M,-,2.97,-,0.65,0.96,9.36,12.00,-168.00%,225.45%,-,-,-,5.32,6.61%,"236,271"
6,207,LOVE,642.04M,-,123.11,-,2.27,7.37,13.46,29.05,67.50%,105.88%,-,30.00%,-,43.09,-4.10%,"266,913"
7,208,LPCN,88.69M,-,-,-,-,6.18,4.72,-,8.00%,29.70%,20.60%,-,-,1.36,3.82%,"2,047,985"
8,209,LPL,6.17B,-,17.22,-,0.29,0.61,2.08,-,81.50%,177.80%,-38.70%,9.40%,-2.40%,8.44,-0.24%,"229,683"
9,210,LRN,881.04M,18.41,15.61,0.92,0.76,1.18,2.85,17.21,-33.70%,3.42%,15.60%,20.00%,1.90%,21.23,-1.62%,"433,424"
10,211,LSXMK,10.00B,61.89,27.02,-,1.26,1.59,-,-,-80.00%,436.70%,-,-5.00%,-,43.51,0.79%,"353,796"
11,212,LTRN,120.31M,-,-,-,-,5.55,5.78,-,-40.60%,-22.00%,-,-,-,19.25,-0.41%,"53,802"
12,213,LYRA,148.20M,-,-,-,-,1.82,1.82,-,-170.50%,10.80%,-,-4.80%,-,11.40,1.33%,"71,819"
13,214,MATX,2.44B,20.11,17.11,1.34,1.10,2.75,192.31,11.17,-29.20%,-6.46%,2.50%,15.00%,5.10%,56.97,1.21%,"189,495"
14,215,MEC,278.87M,-,26.16,-,0.76,1.35,2788.68,9.96,-129.90%,227.50%,-,-,-,13.42,0.52%,"14,432"
15,216,MEDS,43.91M,-,36.99,-,2.61,3.95,6.65,-,60.00%,800.00%,34.70%,-,37.80%,5.29,-2.40%,"50,187"
16,217,MFC,34.55B,8.65,5.68,0.98,0.61,0.91,1.65,2.55,27.60%,15.43%,9.10%,8.82%,7.90%,17.82,1.02%,"1,613,755"
17,218,MGLN,2.12B,42.11,24.94,-,0.41,1.34,17.88,-,137.80%,262.27%,-4.70%,-1.30%,13.70%,82.84,0.58%,"86,960"
18,219,MGRC,1.61B,16.97,16.14,1.70,2.82,2.44,1072.26,12.06,21.50%,6.32%,17.60%,10.00%,6.90%,67.10,1.81%,"105,434"
19,220,MIRM,520.48M,-,-,-,-,3.65,3.89,-,-202.90%,-21.80%,-,-,-,17.46,-4.07%,"412,121"
0,221,MITK,744.45M,97.69,24.69,6.51,7.35,5.63,12.41,31.95,-7.50%,16.50%,18.00%,15.00%,31.90%,17.78,-1.00%,"424,460"
1,222,MIXT,260.99M,34.21,59.11,19.44,1.99,2.57,7.72,1.63,-26.40%,-5.75%,6.50%,1.76%,9.10%,12.59,1.78%,"51,074"
2,223,MLHR,1.96B,-,10.44,-,0.82,2.66,6.44,16.81,-105.80%,-0.61%,-15.90%,-,3.00%,33.80,0.81%,"561,232"
3,224,MNKD,718.24M,-,-,-,11.46,-,13.71,-,56.00%,38.90%,36.50%,35.60%,-,3.13,-6.85%,"3,869,307"
4,225,MNOV,237.59M,-,-,-,-,3.19,3.85,-,16.00%,0.00%,4.70%,20.00%,-,5.26,1.74%,"203,836"
5,226,MNSO,8.02B,-,32.99,-,-,-,-,-,-,105.10%,-,3.43%,-,26.39,0.08%,"679,311"
6,227,MNTX,103.92M,-,15.40,-,0.59,1.47,-,6.54,39.70%,512.50%,-23.20%,30.00%,4.90%,5.16,-0.77%,"26,388"
7,228,MOTS,29.93M,-,-,-,149.64,1.93,1.26,-,37.50%,21.90%,-,-,-,0.95,0.74%,"517,600"
8,229,MPLN,5.46B,-,159.80,-,5.88,1.03,1705.77,-,-,112.20%,-,-,-,7.99,-5.78%,"4,208,579"
9,230,MRAM,85.97M,-,-,-,2.06,4.84,6.19,-,21.90%,100.00%,-0.80%,20.00%,8.50%,4.60,0.00%,"186,741"
10,231,MREO,242.52M,-,-,-,-,-,-,-,-,-,-,-,-,3.58,0.85%,"795,696"
11,232,MRKR,69.66M,-,-,-,99.51,1.96,2.17,-,93.90%,-13.60%,54.40%,-,-,1.45,-4.61%,"197,451"
12,233,MRNS,436.39M,-,-,-,2181.97,4.73,4.78,-,-10.60%,29.30%,14.50%,20.00%,-,12.20,-1.05%,"309,429"
13,234,MRSN,1.88B,-,-,-,2084.75,7.19,6.93,-,76.80%,0.00%,-,-,-,26.61,0.11%,"837,066"
14,235,MRVI,7.56B,153.28,43.15,-,34.09,-,60.50,-,52.20%,71.10%,-,-,-,28.05,0.29%,"668,864"
15,236,MSEX,1.26B,33.32,32.87,12.34,8.99,3.70,236.96,-,2.60%,2.80%,12.30%,2.70%,2.80%,72.47,0.76%,"24,139"
16,237,MSON,225.25M,-,-,-,3.26,1.51,6.45,-,-50.00%,61.40%,-30.70%,30.00%,23.00%,12.50,6.38%,"97,167"
17,238,MTCR,202.79M,-,-,-,-,2.07,1.86,-,-12.10%,0.40%,-,-,-,7.86,-2.24%,"29,103"
18,239,MTEM,488.84M,-,-,-,22.74,5.46,4.21,-,-79.60%,-1.90%,14.10%,-,8.60%,9.39,-0.95%,"385,887"
19,240,MTRX,283.77M,-,17.14,-,0.30,0.95,3.45,-,-222.50%,179.57%,-31.70%,10.00%,-3.90%,11.02,-1.08%,"352,590"
0,241,NBSE,166.50M,-,-,-,-,5.18,5.20,-,72.00%,-21.20%,39.20%,4.00%,-,6.99,-3.05%,"156,085"
1,242,NBY,26.83M,-,-,-,2.74,1.99,2.00,-,-25.30%,53.10%,42.40%,-,44.30%,0.70,-3.98%,"1,151,878"
2,243,NCNA,209.59M,-,-,-,-,1.06,1.54,-,-53.50%,-13.40%,-,-,-,4.49,-0.44%,"103,725"
3,244,NEA,4.21B,296.08,-,-,15.58,1.05,-,-,-,-,-,-,-,15.10,0.87%,"598,314"
4,245,NEO,5.98B,-,178.28,-,14.06,8.93,21.08,-,16.20%,325.35%,30.80%,20.00%,36.20%,53.84,-0.61%,"601,877"
5,246,NEW,525.08M,-,0.81,-,1.13,6.61,50.49,-,47.50%,175.05%,-,-,-,5.82,-14.03%,"660,602"
6,247,NGVC,309.42M,15.51,17.84,3.04,0.30,1.79,10.86,9.26,112.30%,13.24%,4.20%,5.10%,10.70%,13.74,0.07%,"127,733"
7,248,NLTX,436.96M,-,-,-,-,3.81,2.17,-,-91.30%,-41.70%,1.30%,31.10%,-,14.10,-1.54%,"322,961"
8,249,NM,37.19M,-,-,-,0.08,-,0.36,0.77,48.30%,-,-13.30%,16.00%,-3.10%,2.25,1.81%,"149,259"
9,250,NNVC,30.34M,-,-,-,-,1.00,1.39,-,-2.00%,70.00%,-25.20%,-,-,2.87,-6.82%,"549,105"
10,251,NREF,86.07M,-,9.44,-,3.95,0.66,4.78,-,0.00%,18.48%,0.00%,-,-,16.52,2.55%,"24,127"
11,252,NSCO,365.77M,-,-,-,1.23,-,228.61,10.08,-288.70%,17.10%,-,-,-,7.37,0.96%,"418,567"
12,253,NUO,286.75M,22.17,-,-,18.18,0.89,-,-,-,-,-,-,-,15.65,0.22%,"24,703"
13,254,NVCN,27.48M,-,-,-,13.68,32.81,-,-,79.70%,50.00%,-,-,-,0.95,-2.01%,"1,257,152"
14,255,NVGS,602.80M,-,7.91,-,1.88,0.65,9.88,8.79,-190.20%,855.17%,-17.00%,9.00%,-0.20%,10.95,-0.18%,"51,392"
15,256,NVS,232.36B,30.58,14.86,3.79,4.69,3.96,21.38,46.63,-43.60%,10.45%,-6.50%,8.06%,-1.90%,94.43,0.07%,"912,589"
16,257,OCCI,44.65M,-,-,-,4.03,1.08,-,-,-,-,-,-,-,12.47,2.89%,"26,565"
17,258,OIIM,248.59M,69.02,26.01,3.63,3.41,3.17,6.11,-,-343.90%,82.90%,19.10%,19.00%,-0.90%,9.18,1.44%,"835,681"
18,259,OLB,31.86M,-,-,-,3.32,5.09,7.77,-,4.30%,75.90%,23.80%,-,137.40%,4.94,5.11%,"27,223"
19,260,OLMA,1.79B,-,-,-,-,-,14.00,-,-96.40%,-22.30%,-,-,-,48.08,-1.39%,"73,773"
0,261,OPEN,12.37B,-,-,-,3.45,-,-,-,-,-3.80%,-,-,-,22.73,-6.35%,"3,764,934"
1,262,OPT,473.36M,-,-,-,-,-,-,-,-,-,-,-,-,11.22,0.95%,"9,775"
2,263,ORAN,31.22B,9.99,10.47,0.66,0.60,0.89,-,-,63.70%,6.79%,20.50%,15.10%,1.40%,11.86,-1.25%,"475,433"
3,264,ORC,380.38M,121.40,5.38,-,6.58,0.91,1.90,-,150.70%,1485.70%,-29.50%,-,29.90%,5.22,0.38%,"802,641"
4,265,ORGO,974.01M,-,-,-,3.18,12.15,26.69,-,52.70%,-700.00%,-,-,-,7.53,1.07%,"637,944"
5,266,ORIC,1.18B,-,-,-,-,5.57,6.35,-,-25.80%,37.10%,-,-,-,33.85,-7.69%,"376,576"
6,267,ORPH,372.31M,-,-,-,-,-,-,-,-,-24.50%,-,-,-,10.73,-1.20%,"11,475"
7,268,OSW,705.54M,-,-,-,2.75,1.96,14.92,-,-52.00%,65.00%,-,-,-,10.14,1.65%,"612,527"
8,269,OUT,2.85B,-,53.15,-,2.05,2.93,4.12,50.72,24.90%,169.80%,-18.40%,10.00%,5.70%,19.56,2.89%,"1,197,202"
9,270,OXBR,10.68M,-,-,-,7.63,1.36,1.87,-,94.70%,-,-15.60%,-,-31.30%,1.87,-10.95%,"761,012"
10,271,PAR,1.35B,-,-,-,6.47,17.16,24.13,-,36.20%,61.60%,-44.83%,18.00%,-3.00%,62.79,-0.29%,"150,719"
11,272,PAYA,1.54B,-,71.47,-,7.60,0.39,15440.46,-,687.50%,111.10%,-,-,-,13.58,-1.95%,"171,963"
12,273,PCSB,262.21M,26.66,23.97,-,4.34,0.89,1.55,22.60,18.60%,13.68%,84.40%,-,16.50%,15.94,0.50%,"21,309"
13,274,PETQ,1.06B,-,27.62,-,1.38,3.61,18.36,52.28,-60.60%,155.41%,9.50%,25.00%,34.40%,38.45,4.23%,"484,886"
14,275,PHAS,99.22M,-,-,-,90.20,22.40,2.52,-,-46.70%,17.00%,-,-,-,3.36,-4.00%,"459,237"
15,276,PHG,49.04B,35.73,25.25,8.72,2.06,3.43,-,-,-6.70%,10.97%,39.70%,4.10%,-1.90%,54.17,-0.53%,"250,209"
16,277,PHX,51.24M,-,-,-,2.13,0.69,4.79,5.69,42.10%,0.00%,-35.30%,-,-15.70%,2.30,0.00%,"109,728"
17,278,PINE,109.88M,85.17,68.14,-,6.21,0.88,91.56,-,-10.70%,100.00%,-,-,-,14.99,3.24%,"52,659"
18,279,PIRS,141.43M,-,-,-,3.16,3.13,1.71,-,-10.90%,-10.80%,-10.70%,-,53.90%,2.50,-5.66%,"377,339"
19,280,PKX,21.36B,23.25,4.74,4.65,0.40,0.49,1.33,3.73,9.10%,30.57%,24.90%,5.00%,-0.10%,62.31,-0.05%,"57,098"
0,281,PLYM,366.45M,-,-,-,3.58,1.44,23.80,29.55,50.00%,44.50%,27.30%,-,92.60%,15.00,1.63%,"154,709"
1,282,PRDO,867.68M,7.23,7.52,0.48,1.29,1.68,2.39,7.48,25.50%,10.31%,19.70%,15.00%,-7.20%,12.63,0.64%,"236,656"
2,283,PRFT,1.57B,46.26,17.41,3.86,2.64,3.93,31.46,16.66,57.10%,12.63%,10.50%,12.00%,4.40%,47.65,-0.17%,"110,174"
3,284,PRGS,2.02B,35.81,14.06,3.58,4.63,5.53,8.80,19.50,-44.00%,8.80%,-9.50%,10.00%,4.40%,45.19,1.32%,"203,431"
4,285,PRSC,1.99B,88.92,21.09,8.89,1.47,4.74,10.84,6.21,-180.20%,-10.13%,-19.60%,10.00%,6.70%,138.63,0.53%,"53,713"
5,286,PRTK,283.14M,-,-,-,7.10,-,1.89,-,-10.20%,75.70%,12.90%,-,30.70%,6.26,0.97%,"650,698"
6,287,PSO,6.76B,19.91,18.77,-,1.42,1.24,-,25.18,-55.00%,29.02%,6.60%,-3.20%,-3.10%,9.18,-1.18%,"256,037"
7,288,PSTX,668.62M,-,-,-,-,2.04,1.96,-,-94.90%,10.30%,-,2.70%,-,10.97,-1.88%,"187,112"
8,289,PTN,179.34M,-,-,-,-,2.05,2.07,-,-158.00%,50.00%,8.10%,-,-60.90%,0.68,-6.18%,"4,967,919"
9,290,PTSI,277.34M,-,11.61,-,0.59,2.07,10.88,28.01,-65.50%,90.95%,-4.40%,20.00%,4.60%,49.00,3.14%,"8,402"
10,291,PUK,47.63B,36.71,9.67,4.08,1.36,2.51,6.12,-,-32.70%,12.02%,-2.90%,9.00%,9.30%,36.93,-0.38%,"93,126"
11,292,PWFL,231.67M,-,78.21,-,1.94,2.81,-,-,-74.40%,123.10%,9.30%,30.00%,12.40%,7.43,3.48%,"121,765"
12,293,PZG,39.71M,-,-,-,49.64,0.84,8.82,-,-1.00%,-,18.30%,-,39.80%,1.17,0.00%,"132,478"
13,294,QADA,1.26B,410.26,66.30,41.03,4.14,11.06,-,64.48,-286.10%,12.12%,-24.90%,10.00%,1.00%,63.18,1.22%,"79,264"
14,295,QNST,1.11B,36.46,31.67,1.46,2.20,4.12,10.83,20.61,-71.40%,20.46%,22.50%,25.00%,11.70%,21.44,-0.51%,"141,444"
15,296,QTT,509.09M,-,34.57,-,0.59,-,7.40,-,32.00%,113.90%,-,-,-,1.59,-2.45%,"3,306,909"
16,297,RADA,433.10M,154.76,41.14,-,6.44,6.17,17.90,-,-398.50%,95.87%,-25.20%,-,14.50%,9.75,-0.91%,"183,469"
17,298,RAVN,1.21B,54.60,42.59,5.46,3.41,3.64,31.57,33.87,-31.60%,20.84%,2.60%,10.00%,0.20%,33.09,1.32%,"119,871"
18,299,RCEL,401.76M,-,-,-,25.00,-,-,-,18.40%,11.20%,-,-,-,18.58,-1.90%,"110,603"
19,300,RDNT,994.35M,-,41.03,-,0.93,6.40,11.09,5.46,-55.70%,318.20%,55.90%,15.00%,10.00%,19.57,1.66%,"172,032"
0,301,RELX,46.46B,27.90,19.39,3.93,4.60,16.89,176.60,35.50,8.80%,11.19%,12.50%,7.10%,6.40%,24.66,-0.40%,"237,162"
1,302,REPH,72.76M,-,-,-,0.98,-,-,-,105.30%,40.00%,15.70%,-,-,2.85,-2.40%,"795,826"
2,303,RETA,4.28B,-,-,-,503.79,22.44,7.40,-,-228.10%,-25.40%,-,-,-12.60%,123.62,-1.11%,"178,894"
3,304,RGCO,194.76M,18.31,16.63,-,3.09,2.18,649.19,-,20.40%,6.72%,12.60%,-,-1.50%,23.78,-0.08%,"19,869"
4,305,RIO,124.16B,17.07,10.78,-,2.97,3.10,13.87,98.31,-38.10%,-1.43%,6.80%,-7.10%,-2.00%,75.22,-1.01%,"1,005,439"
5,306,RKDA,34.41M,-,-,-,26.47,2.41,3.37,-,-26.50%,33.20%,15.00%,14.96%,-30.10%,2.53,1.61%,"524,624"
6,307,RLMD,543.59M,-,-,-,-,4.21,4.42,-,71.80%,-40.70%,37.90%,-,-,32.07,1.81%,"85,845"
7,308,RNET,123.51M,-,-,-,0.55,19.00,7.31,15.25,70.20%,-220.00%,-25.40%,3.00%,-6.00%,5.89,-3.92%,"173,248"
8,309,RRBI,367.66M,13.19,14.64,-,4.86,1.31,1.32,58.36,-0.40%,-4.11%,14.00%,-,8.80%,49.55,-0.86%,"8,617"
9,310,SACH,91.40M,12.31,9.79,-,5.78,1.10,16.93,-,-36.70%,7.59%,20.20%,-,51.90%,4.16,1.46%,"29,049"
10,311,SALM,27.93M,-,-,-,0.12,0.21,1.45,1.15,-761.50%,100.00%,-47.60%,7.00%,-1.00%,1.04,-5.45%,"415,686"
11,312,SAMG,201.13M,12.41,9.00,1.22,1.87,1.91,4.17,10.99,-15.30%,16.45%,9.40%,10.20%,8.00%,13.89,-2.53%,"26,506"
12,313,SBBP,165.24M,-,-,-,5.88,1.83,-,-,-242.50%,21.00%,-16.70%,20.00%,-,2.43,-3.57%,"227,491"
13,314,SCI,8.49B,19.31,19.13,1.67,2.50,4.96,38.53,23.36,-13.60%,-1.27%,20.20%,11.54%,1.50%,49.10,1.11%,"571,264"
14,315,SESN,173.25M,-,-,-,15.47,-,4.12,-,-116.80%,-105.30%,13.00%,-,-,1.35,-2.88%,"3,741,888"
15,316,SHG,14.99B,4.75,4.98,-,1.09,0.37,0.08,-,6.40%,1.19%,10.80%,-7.40%,5.40%,29.76,0.78%,"61,780"
16,317,SI,1.45B,69.06,52.70,-,18.68,4.89,5.85,-,12.90%,11.90%,-,-,-,74.31,0.16%,"1,060,101"
17,318,SIEN,193.68M,-,-,-,2.70,10.81,3.05,-,19.20%,31.00%,-46.50%,20.00%,13.30%,3.89,-1.77%,"467,518"
18,319,SLCT,167.05M,23.68,17.97,-,2.82,0.79,0.58,7.42,-21.20%,52.75%,21.50%,-,17.50%,9.47,-2.07%,"17,727"
19,320,SLF,25.77B,14.11,9.76,1.95,0.91,1.42,3.52,5.30,6.30%,8.30%,9.00%,7.22%,4.80%,44.46,0.84%,"461,101"
0,321,SLGG,41.26M,-,-,-,27.51,2.25,4.01,-,-57.10%,56.20%,-,-,-,2.83,-5.03%,"364,198"
1,322,SLGL,227.72M,-,-,-,21.28,3.93,8.31,-,30.10%,-34.50%,-,-,-,9.79,0.00%,"8,392"
2,323,SLNO,156.95M,-,-,-,-,3.22,-,-,-59.70%,9.30%,38.50%,15.00%,-,1.93,-0.52%,"294,962"
3,324,SLP,1.44B,142.98,104.23,9.53,34.70,8.43,12.44,225.54,5.90%,25.91%,17.40%,15.00%,17.80%,71.92,-1.37%,"97,262"
4,325,SLRX,17.48M,-,-,-,3.64,0.79,1.82,-,93.00%,18.50%,28.30%,-,-,0.91,2.02%,"501,420"
5,326,SMED,152.05M,126.00,82.17,5.60,3.00,5.22,22.36,-,939.30%,283.33%,13.10%,22.50%,10.60%,9.45,1.83%,"54,341"
6,327,SMP,910.75M,13.09,12.92,1.87,0.84,1.66,54.21,10.77,22.10%,-2.88%,5.90%,7.00%,3.00%,40.46,-0.22%,"110,506"
7,328,SNCR,213.14M,-,-,-,0.68,3.73,4.59,7.69,48.40%,-783.30%,-41.80%,10.00%,-7.60%,4.70,1.51%,"391,860"
8,329,SNE,128.95B,14.00,22.47,2.69,1.61,2.55,3.02,13.60,-34.80%,-11.57%,43.50%,5.20%,0.10%,101.10,0.32%,"669,738"
9,330,SNN,18.11B,47.28,20.01,10.28,3.86,3.70,52.20,-,-9.60%,57.24%,4.20%,4.60%,2.20%,42.17,-0.45%,"176,158"
10,331,SNX,4.16B,8.59,5.84,0.93,0.17,1.01,-,3.01,22.20%,13.78%,16.30%,9.23%,11.40%,81.44,-0.13%,"243,225"
11,332,SNY,122.78B,8.95,12.85,1.19,2.68,1.85,-,-,-32.80%,10.43%,-6.40%,7.50%,3.30%,48.59,0.48%,"2,751,137"
12,333,SQZ,709.14M,-,-,-,28.65,-,6.16,-,-59.10%,52.90%,-,-,-,28.98,-3.53%,"29,994"
13,334,SRDX,601.45M,565.19,170.67,56.52,6.34,4.48,9.84,58.39,-85.20%,100.79%,-38.20%,10.00%,8.90%,43.52,1.07%,"41,799"
14,335,SRRA,180.50M,-,-,-,1804.98,1.59,1.66,-,-0.50%,21.30%,-7.90%,-,-,16.03,0.25%,"41,196"
15,336,SRRK,1.63B,-,-,-,83.84,23.00,14.07,-,41.20%,0.40%,-,-,-,48.53,-5.05%,"131,257"
16,337,SSKN,48.98M,-,-,-,1.94,1.95,4.41,17.49,42.40%,42.90%,62.10%,25.00%,103.10%,1.50,0.00%,"23,578"
17,338,SSSS,262.32M,23.63,6.71,-,201.79,0.92,4.33,-,-9.60%,88.41%,63.60%,-,51.70%,13.09,-1.50%,"420,499"
18,339,SUNS,232.07M,18.03,12.05,3.61,6.83,0.92,-,-,-9.90%,-5.50%,0.64%,5.00%,-,14.46,1.97%,"63,877"
19,340,SWM,1.25B,14.35,11.66,2.87,1.21,1.98,18.89,19.32,1.80%,-7.75%,-1.30%,5.00%,5.20%,40.21,0.55%,"129,487"
0,341,SY,1.17B,217.84,2.57,-,6.24,2.94,2.75,-,413.60%,383.56%,-,-,-,11.11,-2.03%,"667,288"
1,342,SYKE,1.48B,28.65,12.64,2.86,0.88,1.76,11.26,15.31,33.00%,11.28%,2.60%,10.00%,4.00%,37.67,0.16%,"96,489"
2,343,SYNL,72.38M,-,-,-,0.27,0.80,361.92,5.93,-122.90%,-,-17.40%,12.40%,8.90%,7.80,3.17%,"44,888"
3,344,SYX,1.34B,22.89,18.64,1.27,1.37,8.01,17.13,-,-15.10%,13.24%,28.70%,18.00%,-14.80%,35.89,0.96%,"49,623"
4,345,TA,472.05M,7.16,22.00,1.43,0.09,0.70,1.68,2.76,43.50%,213.00%,-12.60%,5.00%,-4.70%,32.60,-3.46%,"71,549"
5,346,TACT,64.11M,-,-,-,1.89,2.31,71.24,-,-90.40%,53.20%,17.40%,20.00%,-2.90%,7.10,2.01%,"110,401"
6,347,TARA,279.87M,-,-,-,-,0.79,-,-,34.20%,20.80%,24.90%,-,-,24.21,0.25%,"40,171"
7,348,TARS,871.24M,-,-,-,-,-,10.10,-,-254.10%,-14.90%,-,-,-,41.33,-1.41%,"98,465"
8,349,TBBK,789.65M,13.34,8.17,1.11,3.96,1.41,2.61,-,-41.70%,25.09%,9.50%,12.00%,20.50%,13.65,0.59%,"138,409"
9,350,TCMD,891.16M,-,105.00,-,4.82,8.00,17.24,-,63.20%,202.40%,151.10%,5.00%,31.70%,44.94,3.12%,"139,353"
10,351,TELA,219.13M,-,-,-,12.59,3.85,2.69,-,2.60%,19.70%,-,-,-,15.04,-2.78%,"15,187"
11,352,TESS,53.04M,-,-,-,0.10,0.68,-,3.90,-490.70%,25.00%,-34.70%,10.00%,-0.30%,6.24,-3.41%,"50,115"
12,353,TIGR,1.14B,152.69,30.78,-,10.28,5.03,18.66,-,82.60%,116.81%,-,-,-,7.94,9.82%,"10,022,185"
13,354,TLK,23.16B,17.63,-,2.03,2.43,3.13,12.93,13.64,7.10%,-,5.40%,8.70%,8.60%,23.52,-0.17%,"211,416"
14,355,TLMD,616.54M,-,-,-,10.26,1.04,2055.13,-,-,41.00%,-,-,-,7.84,1.95%,"308,954"
15,356,TM,249.70B,15.84,14.75,2.00,0.99,1.06,2.98,31.07,13.10%,33.13%,1.20%,7.90%,1.90%,154.57,0.31%,"159,990"
16,357,TPL,5.69B,28.14,29.41,-,16.66,10.86,18.03,-,52.60%,14.76%,58.30%,-,54.80%,727.00,0.49%,"12,498"
17,358,TPTX,5.89B,-,-,-,235.61,7.33,8.28,-,-257.70%,-10.10%,-,-,-,121.85,-2.22%,"130,479"
18,359,TRIL,1.48B,-,-,-,12881.99,8.96,-,-,-26.90%,28.10%,-,-,-,14.71,9.61%,"3,739,604"
19,360,TRIT,771.22M,256.51,29.81,-,45.64,1.44,-,-,-,-,-,-,-,11.03,-7.47%,"4,059,128"
0,361,TRNS,259.75M,38.53,28.08,1.54,1.53,3.67,259.75,16.65,13.30%,45.64%,13.60%,25.00%,7.00%,34.68,3.18%,"33,100"
1,362,TRVI,42.59M,-,-,-,-,1.23,0.80,-,-37.60%,-7.20%,-,-,-,2.42,-4.72%,"120,521"
2,363,TTOO,185.03M,-,-,-,13.81,10.33,4.50,-,-2.80%,45.00%,20.70%,-,133.90%,1.24,-0.80%,"6,078,902"
3,364,TYME,158.82M,-,-,-,-,11.09,8.19,-,40.40%,25.00%,-,-,-,1.22,6.09%,"1,289,413"
4,365,UBS,54.70B,9.29,10.36,0.78,4.93,0.85,0.09,1.01,-2.80%,-10.97%,4.60%,11.92%,3.10%,14.13,0.50%,"1,658,387"
5,366,UEIC,725.00M,22.46,12.76,1.50,1.15,2.46,10.80,9.95,-81.90%,14.80%,-33.70%,15.00%,6.00%,52.46,0.88%,"22,686"
6,367,UFPT,348.10M,23.58,18.60,-,1.89,2.03,20.01,16.50,36.40%,53.21%,20.10%,-,7.30%,46.60,1.75%,"12,877"
7,368,UL,155.77B,22.08,19.62,3.20,2.48,8.29,21.47,-,-38.60%,24.63%,3.60%,6.90%,1.40%,60.36,-0.89%,"1,330,938"
8,369,USDP,92.24M,-,-,-,0.78,-,13.37,10.73,-69.60%,-,19.50%,-,25.80%,3.41,2.71%,"136,094"
9,370,VAPO,693.79M,-,-,-,7.09,5.34,4.99,-,-8.50%,3.90%,-,1.80%,-,26.86,-2.50%,"286,905"
10,371,VCEL,1.40B,30880.00,116.53,-,11.81,12.21,16.34,186.27,-8.20%,1938.46%,37.10%,-,32.60%,30.88,-1.97%,"542,056"
11,372,VEC,578.74M,18.97,13.29,-,0.41,2.04,9.09,18.26,2.20%,41.67%,7.00%,-,2.80%,49.72,1.78%,"48,633"
12,373,VIVE,9.82M,-,-,-,1.96,0.77,1.07,-,94.50%,66.80%,-,20.00%,135.80%,4.70,2.40%,"272,718"
13,374,VIVO,807.97M,17.50,17.47,1.03,3.18,3.24,15.10,18.08,88.20%,-9.86%,4.80%,17.00%,5.40%,18.69,-3.91%,"258,096"
14,375,VNDA,726.25M,37.44,29.66,-,3.01,1.63,2.08,17.54,343.30%,-9.03%,30.80%,-,35.30%,13.14,-1.13%,"240,635"
15,376,VOD,43.49B,15.83,27.93,0.62,0.80,0.68,2.26,-,80.80%,11.95%,-16.10%,25.50%,-1.50%,16.48,-1.02%,"4,213,092"
16,377,VPG,431.91M,29.48,20.22,1.84,1.64,1.69,4.81,40.37,-6.60%,18.85%,49.20%,16.00%,2.60%,31.48,-0.57%,"35,995"
17,378,VRNA,362.73M,-,-,-,-,1.53,-,-,32.10%,22.00%,-,-,-,7.00,-0.99%,"41,306"
18,379,VRRM,2.17B,312.09,68.47,315.25,5.35,6.30,16.82,41.71,130.90%,-,-,0.99%,-,13.42,-0.45%,"842,321"
19,380,VRS,405.07M,3.45,21.16,-,0.25,0.56,5.55,-,-43.90%,254.10%,19.30%,-,13.50%,12.02,0.08%,"119,766"
0,381,VRTV,332.43M,63.97,10.66,-,0.05,0.61,2.95,1.28,-283.90%,3800.00%,-2.60%,-,0.70%,20.79,0.73%,"76,120"
1,382,WATT,98.82M,-,-,-,329.40,4.00,5.71,-,36.40%,40.00%,26.10%,-,-,1.80,-9.55%,"3,911,872"
2,383,WBK,53.86B,30.85,12.88,14.02,2.63,1.04,0.68,1.27,-66.40%,11.68%,-23.80%,2.20%,-3.50%,14.90,-0.40%,"85,515"
3,384,WGO,2.00B,19.40,9.96,1.29,0.78,2.31,7.33,14.39,-47.90%,2.03%,3.80%,15.00%,19.30%,59.94,-4.68%,"1,151,292"
4,385,WINT,82.29M,-,-,-,-,1.12,-,-,89.20%,12.40%,64.30%,-,-41.30%,5.13,0.39%,"19,062"
5,386,WIRE,1.24B,20.09,18.09,2.01,1.03,1.53,5.71,40.35,-25.90%,4.59%,9.20%,10.00%,1.80%,60.57,0.33%,"139,984"
6,387,WLDN,507.07M,-,18.33,-,1.20,2.95,45.27,20.12,-60.00%,82.00%,-19.50%,-,32.60%,41.70,1.86%,"97,199"
7,388,WNS,3.57B,35.86,23.75,3.59,3.89,5.29,12.63,-,11.70%,23.74%,15.40%,10.00%,11.70%,72.05,-0.95%,"64,247"
8,389,XAIR,92.65M,-,-,-,132.35,5.61,-,-,-130.50%,16.30%,-43.90%,-,-,5.27,-1.50%,"219,509"
9,390,XENE,535.69M,-,-,-,17.68,3.09,2.81,-,5.20%,-47.70%,-29.80%,-,-24.80%,15.38,-4.11%,"175,970"
10,391,YI,542.38M,-,-,-,0.51,7.81,3.14,-,-31.00%,26.50%,-,-,-,6.95,1.31%,"627,226"
11,392,YORW,603.47M,37.28,36.69,7.61,11.28,4.29,55.36,-,7.20%,1.60%,4.50%,4.90%,2.40%,46.60,-0.11%,"19,369"
