,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
11,72,CMPR,2.28B,-,17.43,-,0.94,-,56.73,6.78,-136.10%,45.94%,-19.10%,20.00%,10.70%,87.74,1.14%,"113,289"
12,73,CMRE,1.03B,-,6.97,-,2.22,0.75,7.45,3.65,75.80%,17.97%,-15.80%,-,-0.20%,8.28,2.99%,"481,542"
13,74,CNNE,4.08B,2.70,-,-,5.88,1.24,10.05,-,434.20%,-102.10%,-14.00%,-,-5.90%,44.27,0.50%,"458,654"
14,75,CNOB,786.06M,11.41,9.26,1.14,2.61,0.88,2.76,6.08,14.30%,8.09%,21.40%,10.00%,23.60%,19.79,-0.20%,"78,266"
15,76,CNTG,243.30M,-,-,-,4.10,4.23,11.48,-,-83.90%,-15.10%,-,-,-,10.78,-3.23%,"47,037"
16,77,CNXC,5.00B,38.52,13.25,3.11,1.08,-,53.57,-,142.70%,22.50%,-,12.40%,-,98.70,-0.60%,"230,462"
17,78,COGT,747.36M,-,-,-,32.21,-,-,-,24.70%,68.30%,-,-,-,11.23,-1.58%,"180,427"
18,79,CRY,924.80M,-,127.62,-,3.63,2.75,14.43,-,149.90%,428.57%,-30.20%,2.00%,13.80%,23.61,2.21%,"84,622"
19,80,CSGS,1.47B,21.43,13.49,-,1.50,3.53,6.95,15.55,26.70%,10.60%,19.20%,-5.00%,5.80%,45.07,0.81%,"88,032"
0,81,CSTL,1.62B,-,-,-,25.72,8.04,8.85,157.31,127.60%,73.20%,-,-,-,67.15,-2.41%,"198,766"
1,82,CTG,91.13M,11.84,13.30,0.79,0.25,1.10,2.73,3.28,244.40%,-8.91%,-14.30%,15.00%,0.00%,6.12,-1.61%,"82,352"
2,83,CTO,242.84M,-,20.82,-,5.87,0.86,37.94,-,22.60%,-73.32%,24.70%,-,4.50%,42.16,1.84%,"107,865"
3,84,CTRN,501.77M,35.36,-,2.36,0.68,3.20,5.18,8.36,-13.70%,-,18.80%,15.00%,3.10%,49.68,2.24%,"102,588"
4,85,CUE,377.05M,-,-,-,101.91,4.24,4.11,-,14.00%,-1.30%,-,-,-,12.51,-2.87%,"252,438"
5,86,CVGI,278.44M,-,11.23,-,0.40,2.81,5.19,10.24,-55.40%,1825.00%,16.10%,12.00%,1.40%,8.65,1.53%,"235,242"
6,87,CVLG,259.92M,-,7.74,-,0.31,0.81,18.97,-,-80.20%,75.02%,-16.90%,5.00%,4.50%,14.81,-3.27%,"52,145"
7,88,CW,4.83B,20.86,15.49,-,2.03,2.69,11.31,19.99,11.20%,9.99%,15.60%,-,2.10%,116.35,0.08%,"184,003"
8,89,CXDO,125.36M,113.61,72.95,-,7.93,6.54,8.14,179.09,570.40%,11.76%,16.30%,-,13.70%,6.93,-1.35%,"18,017"
9,90,DLHC,118.36M,17.20,12.10,1.26,0.57,2.16,84.55,6.13,33.00%,24.19%,-9.00%,13.70%,26.20%,9.32,0.32%,"70,455"
10,91,DMS,710.00M,-,26.76,-,2.40,1.61,-,-,-150.80%,150.00%,-,-,-,12.04,0.42%,"128,317"
11,92,DXPE,380.58M,-,171.00,-,0.36,1.23,3.91,3.41,0.70%,-68.29%,21.30%,20.00%,-3.30%,22.23,-2.20%,"93,219"
12,93,DYN,995.40M,-,-,-,-,2.49,2.62,-,-208.90%,-0.40%,-,-,-,21.00,-5.02%,"107,562"
13,94,EAR,1.76B,-,-,-,30.68,-,25.09,-,-30.90%,25.50%,-,-,-,44.82,-6.45%,"196,339"
14,95,EBF,463.03M,16.84,-,3.37,1.24,1.58,5.52,15.86,1.50%,-,2.00%,5.00%,2.90%,17.85,1.88%,"111,346"
15,96,EBR,10.97B,-,25.89,-,-,0.83,-,-,-,-70.70%,-,-,-,6.99,-1.13%,"271,019"
16,97,EBR-B,11.14B,-,26.30,-,-,0.84,-,-,-,-70.70%,-34.13%,-,-,7.10,0.28%,221
